"298";"298";;"Werkstatt für Gewaltfreie Aktion, Baden";"1999";"978-3-930010-06-2";"8.00";"142"
"585";"585";"sites/zuendbuch.de/files/pictures/";"Agenda";"2009";"978-3-89688-386-5";"14,80";"57"
"302";"302";;"OPPO";"1991";"978-3-926880-03-1";"3.50";"39"
"303";"303";;"Dialog International";"1996";;"1.60";"25"
"304";"304";;"Edition Rotapfel";"1990";"978-3-85768-067-9";"16,00";"197"
"305";"305";;"LIT";"1996";"978-3-8258-2136-6";"10.90";"125"
"306";"306";;"Hinder + Deelamnn";"1993";"978-3-87348-156-1";"12.30";"215"
"307";"307";;"Weber & Zucht";"2006";;"3.00";"31"
"308";"308";;"Bund für Soziale Verteidigung";"2003";"978-3-00-011703-9";"15.90";"389"
"309";"309";;"Institut für Friedenspädagogik Tübingen";"2002";"978-3-932444-04-3";"1.30";"16"
"310";"310";;" Institut für Friedenspädagogik Tübingen";"2001";"978-3-932444-11-1";"1.30";"16"
"311";"311";;" Institut für Friedenspädagogik Tübingen";"1995";" 978-3-922833-90-1";"1.30";"16"
"312";"312";;"Dialog International";;;"1.60";"18"
"578";"578";"sites/zuendbuch.de/files/pictures/";"Kiepenheuer & Witsch";"2007";"978-3-462-03950-4";"7,95";"217"
"314";"314";;"Junfermann";;"978-3-87387-142-7";"19.90";"328"
"315";"315";"sites/default/files/pictures/978-3-89403-198-5.jpg";"Iskopress";"2005";"978-3-89403-198-5";"21.50";"248"
"316";"316";;"Iskopress";"2004";"978-3-89403-199-2";"21.50";"232"
"317";"317";"sites/default/files/pictures/978-3-86072-220-6.jpg";" Verlag an der Ruhr";"1996";"978-3-86072-220-6";"23.00";"207"
"318";"318";"sites/default/files/pictures/978-3-932444-12-4.jpg";"Institut für Friedenspädagogik Tübingen";"2002";"978-3-932444-12-4";"19.00";"188"
"319";"319";"sites/default/files/pictures/978-3-922833-94-2.jpg";"Institut für Friedenspädagogik Tübingen";"2003";"978-3-922833-94-9";"8.00";"144"
